sids,enrolled_courses
3e30703dfce3af5b5a8d6d744f8b6199,""""""
c786c7e765b8bfc31d2bd3a696b637cc,""""""
0be11901969c6f63e50b75157889f2b5,""""""
86ed5c2e8333d00364b244795a32c83d,""""""
d659108e88c11114dfccb96aa8225988,""""""
c883aca5dc77e2bca2042203cf6d4a47,""""""
2690bafe9e454371651f3e6816779068,"[""2a7827b773a20bd7185a13af239b420d""]"
b29bbc7d94cc0ee2cf9b3ad381c7c17a,""""""
6e27ce53a0f7a9c8e090e675e838073e,"[""3be3836fb1453491f7b7db1b2712e8db"",""c64ca44849ae86093254a01b5748466f""]"
01ceb3a7abd5a779a1e5402d3e92ffba,"[""c64ca44849ae86093254a01b5748466f""]"
b12bad50096c6f9ba3cd3f0df1add28c,"[""c64ca44849ae86093254a01b5748466f""]"
1e5e55b5ebbf83caa2274e698a686d95,"[""c64ca44849ae86093254a01b5748466f""]"
c5db4dbd99d0d75ae98ab1e5c20f4980,"[""c64ca44849ae86093254a01b5748466f""]"
ead25aedfa2ba21770f3da15b8b9b002,"[""c64ca44849ae86093254a01b5748466f""]"
7a2cd2b532ca138af5b6df902c49db2f,"[""c64ca44849ae86093254a01b5748466f""]"
fd00ae274371d13e12d34240cc441c00,"[""c64ca44849ae86093254a01b5748466f""]"
353d7ed87613333702f4d29244ed8aec,"[""c64ca44849ae86093254a01b5748466f""]"
9f660db36d1cb0a00a9b600d5b61bc62,"[""c64ca44849ae86093254a01b5748466f""]"
3fe279f521fb33ad76a69d10a71ce945,""""""
b1e0d34972a3e33b9065cc4f8c852110,"[""c64ca44849ae86093254a01b5748466f""]"
384f66429218fe2e6745a03483538991,"[""e2e15f7b9ea0df0fbab2d5c6929a894e"",""c64ca44849ae86093254a01b5748466f""]"
f091e81050dacb0fe60157efb1f92ea2,""""""
20255c5121e92e21889301095489be4f,""""""
051cb9523459b704c94bb6d240b6fc3a,""""""
4a31c77c871d26b3f15bac124f45a3e1,""""""
55b0eba06372ab59554393044559cb4b,""""""
ebcbadca32cec6f47469ba060e50b321,""""""
b5c00e409c885c2b74ae27f515fe9c60,""""""
64261b39ccba5e6d3816ca7df6fcee3a,""""""
da12f3388201feb01a952f8fec90b30f,""""""
acc0443ee17e13b8f4f00de26db06d79,""""""
5ee4d5c8ce8c68cf1314cf9541205efa,""""""
9ce54dd960b4a857c5d8930059afde12,""""""
9cc77e89d4fe5834cfc97e7e5c0909c9,""""""
246a11fcf38bd73a56757f7a66970647,""""""
aaf2e39a4a031347eacdacc6878546eb,""""""
a1982601d4c11dfbc3719ceebd405ea6,""""""
8e28534832a857c0278b2a144208938e,""""""
6f6e407cc9e72624cbed0731d978702e,""""""
87570fcd0362c3a6aca774504be92c5e,""""""
1a0d1eabc5e30ff30d12a10fab7e46c0,""""""
f3f2e801b6eddd5b0f387cd592f92851,""""""
ca2fe780ef61e21da3c8ddca77a037b6,""""""
b723ced7f35fe65ea28145f52851dbe8,""""""
